ID	Gender	Age	Time	X_position	Y_position	POINT	SubChain	SubChain_Start_end_tag	SubChain_ID	iter	WGS_distance	Time_Consume	Speed	t_p_i	residual	from	to	osmid	e_i	oneway	length	highway	highway_l	SpeedKM	Overspeeding
C0000049	男	29	2020-05-01 17:01:35	112.99077407	28.19571768	SRID=4326;POINT(112.9907740653221 28.1957176774715)	3	0	C0000049.3	1.0	47.171044108871186	10.0	4.717104410887118	2	15.497714916409276	3946941454	3946941362	391480353	17130	0	146.887	['residential']	1.0	16.981575879193624	0
C0000049	男	29	2020-05-01 17:01:45	112.99074961	28.196175300000004	SRID=4326;POINT(112.99074960845715 28.196175296665142)	3	0	C0000049.3	2.0	50.771476906519716	10.0	5.077147690651972	3	18.530844771982125	3946941362	3946940433	391480279	17009	0	11.841	['residential']	1.0	18.2777316863471	0
C0000049	男	29	2020-05-01 17:01:55	112.99082294	28.19648244	SRID=4326;POINT(112.99082294362977 28.196482437484374)	3	0	C0000049.3	3.0	34.79117892727829	10.0	3.4791178927278286	4	15.01443959557797	3946941362	3946941313	391480279	17114	0	165.61700000000002	['residential']	1.0	12.524824413820182	0
C0000049	男	29	2020-05-01 17:02:05	112.99089234	28.19690548	SRID=4326;POINT(112.99089233848515 28.19690547765036)	3	0	C0000049.3	3.0	47.37498144091525	10.0	4.737498144091526	5	19.97423923161399	3946941362	3946941313	391480279	17114	0	165.61700000000002	['residential']	1.0	17.054993318729494	0
C0000049	男	29	2020-05-01 17:02:15	112.99096028	28.19734824	SRID=4326;POINT(112.99096027800697 28.197348244414382)	3	0	C0000049.3	3.0	49.51916438767115	10.0	4.951916438767116	6	10.790610811414702	3946941362	3946941313	391480279	17114	0	165.61700000000002	['residential']	1.0	17.826899179561618	0
C0000049	男	29	2020-05-01 17:02:25	112.99092483	28.19769691	SRID=4326;POINT(112.99092483351974 28.19769691419066)	3	0	C0000049.3	3.0	38.7969697475275	10.0	3.8796969747527497	7	19.01920976479033	3946941362	3946941313	391480279	17114	0	165.61700000000002	['residential']	1.0	13.9669091091099	0
C0000049	男	29	2020-05-01 17:03:45	112.98768903	28.19767394	SRID=4326;POINT(112.98768903128965 28.19767393653823)	3	0	C0000049.3	4.0	38.028310206288964	10.0	3.802831020628896	15	10.877824622247775	6520534720	1957172007	185145052	6928	0	401.289	['residential']	1.0	13.690191674264026	0
C0000049	男	29	2020-05-01 17:03:55	112.98750355	28.19770789	SRID=4326;POINT(112.98750355028483 28.197707885012047)	3	2	C0000049.3	4.0	18.595361725141355	10.0	1.8595361725141355	16	17.235542149488655	6520534720	1957172007	185145052	6928	0	401.289	['residential']	1.0	6.694330221050888	0
C0000078	男	29	2020-05-01 11:51:44	113.01645557	28.21876182	SRID=4326;POINT(113.01645556638792 28.21876182021864)	1	1	C0000078.1	1.0	0.0	0.0	0.0	0	17.030840294165493	1958524950	1958524623	185284700	7312	0	102.8	['residential']	1.0	0.0	0
C0000078	男	29	2020-05-01 11:51:54	113.01652239	28.21809762	SRID=4326;POINT(113.01652238696423 28.21809762271128)	1	0	C0000078.1	1.0	27.885396928158265	5.0	5.577079385631653	2	16.255251344466163	1958524950	1958524623	185284700	7312	0	102.8	['residential']	1.0	20.07748578827395	0
C0000078	男	29	2020-05-01 11:51:59	113.01654631	28.21796655	SRID=4326;POINT(113.01654631396799 28.217966553170825)	1	0	C0000078.1	1.0	14.714126183782884	5.0	2.9428252367565766	3	15.172964090255912	1958524950	1958524623	185284700	7312	0	102.8	['residential']	1.0	10.594170852323677	0
